Equipment_Type,Temperature,Pressure,Vibration,Operating_Hours,Failure_Class
Valve,92.04,36.79,0.0,75128,Healthy
Motor,88.13,0.0,2.77,99893,Critical
Heat Exchanger,119.13,14.25,0.0,31720,Healthy
Furnace,507.22,4.99,0.0,77167,Healthy
Pipeline,150.41,12.38,0.0,195239,Warning
Generator,58.6,0.0,1.13,27322,Healthy
Storage Tank,35.23,1.7,0.0,138745,Healthy
Reactor,182.04,25.38,0.0,96025,Healthy
Motor,85.68,0.0,2.68,111884,Critical
Generator,96.23,0.0,0.85,139231,Warning
Heat Exchanger,86.85,12.56,0.0,28738,Healthy
Furnace,383.41,4.08,0.0,27178,Healthy
Heat Exchanger,249.15,32.65,0.0,248032,Failure
Cooling System,53.77,3.39,0.53,79526,Warning
Cooling System,34.69,3.57,0.89,47111,Healthy
Distillation Column,224.13,5.83,0.0,17421,Healthy
Boiler,306.3,68.24,0.0,108550,Warning
Generator,43.65,0.0,0.67,83910,Healthy
Valve,199.07,35.47,0.0,103180,Warning
Furnace,405.3,4.46,0.0,21476,Healthy
Distillation Column,254.5,2.0,0.0,63037,Healthy
Boiler,230.55,90.86,0.0,105432,Warning
Boiler,231.62,79.69,0.0,56378,Healthy
Compressor,145.18,17.93,2.56,77495,Warning
Turbine,294.22,85.56,1.59,124877,Warning
Pump,56.93,13.57,2.3,40296,Healthy
Distillation Column,297.17,3.49,0.0,164281,Warning
Generator,40.62,0.0,0.52,31408,Healthy
Pipeline,82.84,52.5,0.0,180823,Warning
Distillation Column,342.36,7.82,0.0,188354,Critical
Instrumentation,11.38,21.74,0.0,28700,Healthy
Cooling System,23.8,2.65,0.82,12774,Healthy
Turbine,228.94,50.26,2.32,25244,Healthy
Furnace,885.82,8.97,0.0,223000,Critical
Compressor,54.53,51.31,4.62,138027,Critical
Pump,45.69,7.79,1.12,20706,Healthy
Compressor,181.19,62.55,5.19,152532,Failure
Distillation Column,133.82,1.32,0.0,82014,Healthy
Motor,88.13,0.0,2.67,117938,Critical
Turbine,174.74,71.16,2.34,74487,Healthy
Valve,104.78,20.36,0.0,52023,Healthy
Motor,53.07,0.0,0.76,16564,Healthy
Motor,101.69,0.0,3.13,142862,Failure
Boiler,253.03,59.25,0.0,101554,Healthy
Furnace,878.52,8.74,0.0,218551,Critical
Valve,67.42,33.2,0.0,83982,Healthy
Compressor,119.43,15.91,2.11,32105,Healthy
Furnace,377.05,3.8,0.0,97303,Healthy
Generator,83.96,0.0,0.81,35502,Healthy
Turbine,356.95,46.42,2.4,53931,Healthy
Motor,80.74,0.0,1.96,79611,Warning
Motor,65.14,0.0,1.84,28337,Healthy
Reactor,275.64,41.76,0.0,86927,Healthy
Valve,126.24,15.65,0.0,12191,Healthy
Cooling System,32.48,6.54,1.2,28406,Healthy
Instrumentation,21.18,33.38,0.0,63066,Warning
Motor,78.64,0.0,2.05,79772,Warning
Boiler,231.03,60.43,0.0,81909,Healthy
Instrumentation,83.91,32.39,0.0,60265,Warning
Furnace,424.08,4.7,0.0,44182,Healthy
Cooling System,39.77,2.02,0.98,63074,Healthy
Pipeline,175.6,59.45,0.0,242536,Critical
Cooling System,16.39,5.28,1.37,25866,Healthy
Heat Exchanger,228.72,27.5,0.0,191155,Critical
Pump,97.18,11.08,2.33,87008,Warning
Furnace,347.96,6.41,0.0,77276,Healthy
Reactor,355.66,68.14,0.0,170320,Warning
Motor,102.92,0.0,3.01,148286,Failure
Distillation Column,183.63,6.65,0.0,152287,Warning
Boiler,327.06,101.91,0.0,197392,Critical
Pump,63.92,7.88,2.11,35471,Healthy
Furnace,405.66,5.84,0.0,17733,Healthy
Pipeline,84.45,37.28,0.0,111779,Healthy
Generator,103.59,0.0,2.03,148992,Critical
Pipeline,125.85,35.13,0.0,58015,Healthy
Motor,55.38,0.0,0.5,50690,Healthy
Motor,47.59,0.0,2.28,73275,Warning
Distillation Column,318.22,3.27,0.0,132306,Warning
Generator,47.94,0.0,1.66,64322,Healthy
Instrumentation,50.45,20.66,0.0,19949,Healthy
Boiler,197.05,37.28,0.0,38203,Healthy
Heat Exchanger,160.24,15.15,0.0,18367,Healthy
Compressor,173.61,53.59,2.78,122288,Critical
Motor,67.43,0.0,1.33,41292,Healthy
Instrumentation,78.14,31.57,0.0,47775,Warning
Distillation Column,366.28,8.79,0.0,255060,Failure
Storage Tank,49.65,0.19,0.0,76234,Healthy
Reactor,290.57,37.31,0.0,50663,Healthy
Pipeline,108.7,34.8,0.0,110409,Healthy
Pump,42.48,6.89,0.62,58406,Healthy
Instrumentation,108.15,0.5,0.0,54175,Warning
Furnace,405.3,2.26,0.0,104035,Healthy
Boiler,208.36,28.82,0.0,26820,Healthy
Pump,66.53,5.48,1.77,8942,Healthy
Valve,75.98,5.22,0.0,51796,Healthy
Compressor,114.66,27.83,3.14,41213,Healthy
Heat Exchanger,161.07,12.49,0.0,63983,Healthy
Boiler,257.29,54.04,0.0,99457,Healthy
Instrumentation,20.29,14.3,0.0,6734,Healthy
Turbine,403.27,54.51,0.86,138082,Warning
Compressor,149.26,40.51,2.42,100762,Warning
Heat Exchanger,259.66,30.64,0.0,205026,Failure
Motor,82.15,0.0,1.87,63842,Warning
Instrumentation,51.64,31.78,0.0,64928,Warning
Pipeline,133.78,33.21,0.0,117757,Healthy
Valve,163.35,32.54,0.0,43786,Healthy
Turbine,309.3,34.78,0.73,78499,Healthy
Generator,58.02,0.0,1.17,34105,Healthy
Cooling System,61.31,10.82,2.09,175208,Failure
Pump,50.13,18.48,1.05,102142,Warning
Generator,55.24,0.0,1.38,35697,Healthy
Storage Tank,42.54,0.76,0.0,81160,Healthy
Generator,35.38,0.0,0.95,52965,Healthy
Generator,115.39,0.0,2.73,229802,Failure
Reactor,212.43,67.29,0.0,156973,Warning
Generator,108.03,0.0,2.7,203421,Failure
Instrumentation,39.37,17.46,0.0,37673,Healthy
Heat Exchanger,92.66,10.43,0.0,18186,Healthy
Generator,78.94,0.0,0.83,29511,Healthy
Generator,46.56,0.0,0.64,78500,Healthy
Pipeline,66.97,8.67,0.0,86921,Healthy
Furnace,711.68,4.33,0.0,86111,Healthy
Heat Exchanger,158.08,12.08,0.0,21723,Healthy
Pipeline,20.22,43.24,0.0,63590,Healthy
Turbine,425.76,92.04,1.77,160282,Critical
Distillation Column,140.0,6.66,0.0,142652,Warning
Boiler,183.83,34.53,0.0,65033,Healthy
Valve,218.77,22.93,0.0,91196,Warning
Motor,81.69,0.0,1.97,55756,Warning
Pump,66.67,16.35,0.85,38065,Healthy
Storage Tank,23.63,3.26,0.0,24561,Healthy
Boiler,331.0,111.55,0.0,212159,Critical
Generator,35.36,0.0,1.23,33779,Healthy
Pipeline,64.9,50.33,0.0,193428,Warning
Compressor,76.52,23.11,1.68,25631,Healthy
Reactor,274.19,53.12,0.0,103463,Healthy
Distillation Column,290.66,1.4,0.0,144268,Warning
Generator,40.62,0.0,0.67,82841,Healthy
Storage Tank,84.5,4.98,0.0,235498,Critical
Turbine,438.95,93.27,1.65,146862,Critical
Compressor,58.57,53.78,4.91,117043,Critical
Pump,98.54,8.31,1.35,95328,Warning
Pipeline,103.46,51.17,0.0,153261,Warning
Motor,96.49,0.0,3.14,140614,Failure
Pump,73.41,16.09,0.97,69380,Healthy
Valve,148.81,40.64,0.0,126023,Warning
Heat Exchanger,168.03,4.91,0.0,79462,Healthy
Storage Tank,82.11,4.56,0.0,263427,Critical
Instrumentation,110.68,38.89,0.0,77217,Critical
Compressor,106.34,26.06,2.19,9700,Healthy
Pipeline,68.26,51.69,0.0,161456,Warning
Furnace,504.94,7.23,0.0,121945,Warning
Generator,48.89,0.0,1.38,69673,Healthy
Motor,44.37,0.0,2.46,57925,Warning
Turbine,308.02,29.03,2.06,79957,Healthy
Generator,47.03,0.0,0.71,30074,Healthy
Distillation Column,253.68,6.54,0.0,133859,Warning
Boiler,215.73,94.84,0.0,116206,Warning
Pump,110.42,14.76,3.99,151609,Critical
Instrumentation,109.76,1.82,0.0,56061,Warning
Heat Exchanger,137.89,13.35,0.0,52109,Healthy
Compressor,56.34,31.14,3.05,28839,Healthy
Valve,37.62,6.91,0.0,36684,Healthy
Storage Tank,27.46,3.75,0.0,195418,Warning
Pump,105.08,11.78,4.18,123720,Critical
Turbine,182.65,42.87,1.69,45375,Healthy
Pump,74.56,9.5,1.18,36109,Healthy
Pump,116.8,24.19,4.5,189766,Failure
Reactor,294.53,37.78,0.0,30103,Healthy
Pump,67.61,10.47,1.9,21247,Healthy
Valve,103.6,44.83,0.0,123554,Warning
Compressor,149.86,30.68,2.79,81600,Warning
Distillation Column,323.08,7.85,0.0,171752,Critical
Turbine,329.1,69.71,3.29,93230,Warning
Turbine,466.87,101.99,4.0,204530,Failure
Generator,74.51,0.0,0.87,43685,Healthy
Distillation Column,245.97,1.16,0.0,100090,Healthy
Cooling System,32.84,2.81,1.52,11795,Healthy
Boiler,150.22,70.53,0.0,89451,Healthy
Compressor,52.03,17.51,3.13,38047,Healthy
Boiler,197.18,49.96,0.0,35364,Healthy
Generator,53.37,0.0,1.38,11260,Healthy
Valve,244.9,45.71,0.0,173257,Critical
Storage Tank,32.3,0.48,0.0,28530,Healthy
Cooling System,45.02,5.24,1.29,60589,Healthy
Cooling System,21.83,8.43,1.9,124683,Critical
Storage Tank,77.26,0.99,0.0,158490,Warning
Reactor,303.03,52.32,0.0,71531,Healthy
Turbine,239.61,69.47,2.62,35795,Healthy
Furnace,645.96,2.99,0.0,21300,Healthy
Distillation Column,289.84,1.41,0.0,151569,Warning
Cooling System,34.16,3.58,0.66,68397,Healthy
Instrumentation,79.93,13.42,0.0,38644,Healthy
Reactor,226.2,31.9,0.0,84975,Healthy
Heat Exchanger,174.79,7.74,0.0,13355,Healthy
Reactor,217.41,20.36,0.0,104298,Healthy
Turbine,172.52,24.66,1.34,58696,Healthy
Reactor,396.64,58.58,0.0,125483,Warning
Boiler,192.66,36.26,0.0,85638,Healthy
Cooling System,16.92,5.3,0.8,48298,Healthy
Reactor,184.57,56.24,0.0,44383,Healthy
Boiler,182.35,28.0,0.0,23049,Healthy
Motor,78.39,0.0,1.87,79601,Warning
Pump,45.84,8.7,3.31,71286,Warning
Reactor,285.53,33.53,0.0,45170,Healthy
Valve,234.91,48.45,0.0,154452,Critical
Reactor,476.84,83.41,0.0,291031,Failure
Cooling System,45.86,6.45,1.27,51202,Healthy
Instrumentation,112.8,36.15,0.0,89998,Critical
Pump,79.03,23.53,4.29,147375,Critical
Cooling System,27.57,2.44,1.18,35881,Healthy
Furnace,886.57,9.66,0.0,180623,Critical
Valve,179.46,20.27,0.0,72996,Healthy
Storage Tank,86.29,4.74,0.0,271326,Critical
Furnace,323.4,5.6,0.0,94157,Healthy
Cooling System,37.92,4.47,1.13,48216,Healthy
Cooling System,63.25,10.33,2.19,170307,Failure
Turbine,253.26,74.93,3.47,113136,Warning
Storage Tank,80.06,4.83,0.0,305490,Critical
Heat Exchanger,173.57,15.79,0.0,27495,Healthy
Valve,117.93,30.35,0.0,57111,Healthy
Motor,77.93,0.0,1.99,58731,Warning
Furnace,706.38,5.2,0.0,69514,Healthy
Reactor,478.93,80.34,0.0,254862,Failure
Valve,173.26,44.17,0.0,124950,Warning
Instrumentation,128.54,40.48,0.0,117010,Failure
Compressor,119.63,30.56,1.33,44985,Healthy
Cooling System,59.09,8.92,0.98,133201,Critical
Cooling System,38.89,6.74,0.81,41069,Healthy
Reactor,389.42,43.89,0.0,165051,Warning
Generator,81.69,0.0,1.16,23361,Healthy
Boiler,231.84,98.13,0.0,144745,Warning
Instrumentation,104.46,8.69,0.0,50170,Warning
Reactor,429.17,76.95,0.0,209838,Critical
Valve,74.8,36.61,0.0,74684,Healthy
Furnace,352.52,5.19,0.0,42387,Healthy
Motor,39.08,0.0,0.56,48597,Healthy
Heat Exchanger,164.87,20.55,0.0,17236,Healthy
Pump,65.45,5.01,1.53,40948,Healthy
Valve,231.48,45.99,0.0,158848,Critical
Cooling System,21.11,4.09,1.1,46458,Healthy
Instrumentation,24.44,14.43,0.0,29214,Healthy
Compressor,128.95,32.53,3.15,25221,Healthy
Furnace,639.45,7.37,0.0,169019,Warning
Distillation Column,368.36,8.44,0.0,276084,Failure
Generator,73.95,0.0,0.95,72557,Healthy
Heat Exchanger,241.46,25.54,0.0,189156,Critical
Instrumentation,56.21,20.36,0.0,27757,Healthy
Pipeline,115.86,17.23,0.0,121968,Healthy
Pump,122.99,24.23,4.68,176507,Failure
Generator,96.85,0.0,1.6,100801,Warning
Generator,76.48,0.0,0.85,48001,Healthy
Instrumentation,85.22,28.63,0.0,21460,Healthy
Compressor,110.85,28.69,3.68,72808,Warning
Pipeline,155.02,28.87,0.0,163968,Warning
Valve,186.3,43.64,0.0,104956,Warning
Generator,77.73,0.0,0.61,80707,Healthy
Pipeline,192.57,63.3,0.0,314323,Failure
Reactor,454.1,85.25,0.0,239360,Failure
Valve,63.71,32.9,0.0,62029,Healthy
Boiler,238.97,45.96,0.0,77836,Healthy
Pipeline,155.51,9.89,0.0,173422,Warning
Compressor,98.57,15.11,3.04,33079,Healthy
Valve,21.51,7.91,0.0,20113,Healthy
Motor,61.91,0.0,1.13,12547,Healthy
Compressor,105.0,27.27,1.05,45068,Healthy
Boiler,183.54,72.19,0.0,89853,Healthy
Generator,43.03,0.0,0.53,45194,Healthy
Instrumentation,123.92,41.38,0.0,117973,Failure
Reactor,203.45,40.02,0.0,87490,Healthy
Instrumentation,109.3,4.94,0.0,63226,Warning
Pipeline,171.4,57.61,0.0,239825,Critical
Generator,65.63,0.0,1.37,79967,Healthy
Motor,43.01,0.0,0.53,31710,Healthy
Furnace,507.93,5.3,0.0,18933,Healthy
Valve,43.09,17.91,0.0,79483,Healthy
Turbine,436.76,91.38,2.31,142941,Critical
Storage Tank,44.46,3.68,0.0,210847,Warning
Pipeline,156.64,32.92,0.0,186547,Warning
Motor,35.54,0.0,0.95,9642,Healthy
Distillation Column,142.06,5.85,0.0,55386,Healthy
Turbine,304.04,70.35,1.55,72011,Healthy
Compressor,127.33,23.61,2.35,17890,Healthy
Compressor,77.35,32.78,2.37,62686,Healthy
Boiler,178.68,57.43,0.0,47468,Healthy
Valve,143.17,18.69,0.0,32998,Healthy
Storage Tank,85.27,4.42,0.0,279812,Critical
Boiler,172.58,77.58,0.0,21658,Healthy
Heat Exchanger,173.7,19.83,0.0,74517,Healthy
Turbine,202.26,37.55,3.16,130988,Warning
Compressor,103.69,24.56,1.97,42986,Healthy
Compressor,87.76,15.64,1.75,62212,Healthy
Distillation Column,191.4,4.29,0.0,23649,Healthy
Valve,87.82,5.55,0.0,30657,Healthy
Instrumentation,85.39,29.33,0.0,10815,Healthy
Valve,158.37,17.84,0.0,59855,Healthy
Storage Tank,31.67,1.14,0.0,82291,Healthy
Distillation Column,268.19,6.81,0.0,112164,Warning
Instrumentation,113.14,36.05,0.0,75659,Critical
Motor,58.21,0.0,1.91,25610,Healthy
Instrumentation,3.12,6.79,0.0,9215,Healthy
Storage Tank,90.12,5.18,0.0,339206,Failure
Instrumentation,111.58,38.19,0.0,84964,Critical
Compressor,176.91,62.26,5.33,158171,Failure
Pipeline,62.57,9.78,0.0,109845,Healthy
Distillation Column,342.63,7.24,0.0,192801,Critical
Reactor,312.6,43.46,0.0,22674,Healthy
Motor,61.64,0.0,1.02,8091,Healthy
Reactor,449.84,80.78,0.0,292724,Failure
Pump,44.75,15.17,0.66,51882,Healthy
Pump,87.93,10.22,0.91,36237,Healthy
Storage Tank,57.11,1.62,0.0,25031,Healthy
Cooling System,36.66,2.81,1.34,50191,Healthy
Storage Tank,21.32,0.31,0.0,56895,Healthy
Turbine,205.13,25.55,1.06,62458,Healthy
Boiler,321.68,107.55,0.0,206282,Critical
Heat Exchanger,127.81,16.82,0.0,83223,Healthy
Cooling System,31.0,6.55,0.88,40607,Healthy
Generator,81.08,0.0,0.57,18707,Healthy
Generator,65.58,0.0,1.56,55825,Healthy
Turbine,306.0,45.75,0.78,81282,Healthy
Generator,98.88,0.0,1.2,133223,Warning
Storage Tank,53.39,2.7,0.0,116198,Healthy
Heat Exchanger,244.7,27.95,0.0,197087,Critical
Storage Tank,74.06,1.0,0.0,202156,Warning
Instrumentation,8.82,26.69,0.0,28600,Healthy
Cooling System,21.22,5.02,0.57,52652,Healthy
Boiler,218.92,75.94,0.0,39103,Healthy
Reactor,433.31,77.07,0.0,229494,Critical
Valve,51.62,28.81,0.0,52893,Healthy
Motor,59.33,0.0,1.81,11307,Healthy
Pipeline,165.84,59.88,0.0,255571,Critical
Heat Exchanger,256.98,31.16,0.0,219099,Failure
Generator,90.46,0.0,0.82,104810,Warning
Boiler,354.89,119.52,0.0,295668,Failure
Distillation Column,129.14,5.88,0.0,28271,Healthy
Storage Tank,92.58,5.19,0.0,320565,Failure
Cooling System,50.48,6.52,1.03,79232,Warning
Generator,95.6,0.0,0.81,140800,Warning
Instrumentation,89.84,12.91,0.0,11151,Healthy
Valve,136.79,13.24,0.0,26081,Healthy
Generator,108.69,0.0,2.57,237777,Failure
Cooling System,64.13,10.27,2.02,186281,Failure
Pipeline,58.85,16.25,0.0,109969,Healthy
Boiler,240.63,79.57,0.0,82667,Healthy
Pump,82.33,23.64,4.37,123894,Critical
Compressor,191.99,61.84,5.31,153770,Failure
Heat Exchanger,122.34,4.67,0.0,47089,Healthy
Distillation Column,214.82,3.69,0.0,14097,Healthy
Motor,41.41,0.0,1.35,36200,Healthy
Furnace,952.03,10.08,0.0,286017,Failure
Motor,66.19,0.0,1.96,34397,Healthy
Pump,102.93,13.92,1.81,113839,Warning
Turbine,212.43,47.44,1.41,82301,Healthy
Motor,55.75,0.0,0.77,33067,Healthy
Instrumentation,111.28,39.33,0.0,68766,Critical
Reactor,342.77,44.99,0.0,19525,Healthy
Reactor,347.93,44.99,0.0,51781,Healthy
Turbine,463.43,107.35,4.31,215035,Failure
Boiler,316.81,37.96,0.0,111602,Warning
Pump,126.48,24.05,4.61,173609,Failure
Boiler,355.25,124.54,0.0,279606,Failure
Furnace,368.38,5.38,0.0,103500,Healthy
Reactor,313.03,69.52,0.0,112926,Warning
Furnace,712.23,7.55,0.0,160811,Warning
Storage Tank,54.6,1.31,0.0,117556,Healthy
Generator,63.53,0.0,1.08,62956,Healthy
Instrumentation,47.17,1.97,0.0,34361,Healthy
Cooling System,52.71,2.95,0.6,70197,Warning
Distillation Column,169.43,3.55,0.0,27777,Healthy
Storage Tank,65.19,0.83,0.0,112660,Healthy
Cooling System,32.5,2.89,1.36,11570,Healthy
Generator,64.77,0.0,1.93,120503,Warning
Instrumentation,110.36,36.19,0.0,87705,Critical
Storage Tank,77.45,2.22,0.0,200813,Warning
Compressor,79.25,29.97,1.14,41445,Healthy
Storage Tank,52.03,3.73,0.0,168935,Warning
Valve,83.64,2.23,0.0,81393,Healthy
Storage Tank,32.63,3.96,0.0,206881,Warning
Reactor,217.71,69.19,0.0,127190,Warning
Storage Tank,54.9,0.15,0.0,60599,Healthy
Heat Exchanger,257.82,32.97,0.0,246824,Failure
Motor,68.95,0.0,0.56,31644,Healthy
Furnace,903.32,10.79,0.0,297928,Failure
Compressor,97.87,17.84,2.75,27543,Healthy
Heat Exchanger,207.8,3.69,0.0,126681,Warning
Furnace,485.81,5.32,0.0,89806,Healthy
Instrumentation,4.3,24.92,0.0,42011,Healthy
Turbine,303.99,67.5,2.96,25685,Healthy
Storage Tank,62.54,2.45,0.0,78692,Healthy
Turbine,281.21,51.51,2.96,46021,Healthy
Storage Tank,48.55,3.08,0.0,50991,Healthy
Generator,44.36,0.0,1.15,34704,Healthy
Instrumentation,13.44,29.53,0.0,34767,Healthy
Furnace,373.69,3.84,0.0,68490,Healthy
Cooling System,41.6,3.45,0.9,31757,Healthy
Instrumentation,103.35,23.22,0.0,43822,Warning
Compressor,79.14,29.57,1.66,44286,Healthy
Distillation Column,192.92,2.19,0.0,21512,Healthy
Storage Tank,58.12,2.91,0.0,113676,Healthy
Pump,82.38,9.08,1.04,54234,Healthy
Pipeline,56.01,19.17,0.0,106385,Healthy
Reactor,408.3,22.37,0.0,150345,Warning
Heat Exchanger,123.69,10.14,0.0,33556,Healthy
Instrumentation,86.42,6.03,0.0,16028,Healthy
Boiler,174.42,35.79,0.0,79295,Healthy
Storage Tank,23.42,1.95,0.0,128249,Healthy
Furnace,932.8,10.13,0.0,284619,Failure
Boiler,360.26,126.51,0.0,274727,Failure
Compressor,116.64,48.85,3.12,93631,Warning
Turbine,279.39,35.57,1.41,66548,Healthy
Pump,82.57,11.94,1.45,65220,Healthy
Cooling System,55.34,3.32,1.85,126943,Critical
Heat Exchanger,134.99,20.87,0.0,61900,Healthy
Pump,62.1,7.31,1.02,51659,Healthy
Instrumentation,113.72,38.65,0.0,84029,Critical
Heat Exchanger,259.01,30.48,0.0,205260,Failure
Reactor,287.48,63.06,0.0,165923,Warning
Pump,66.52,8.15,2.49,42388,Healthy
Compressor,127.89,21.11,2.99,56417,Healthy
Instrumentation,64.33,14.63,0.0,39335,Healthy
Compressor,50.71,19.14,1.84,36575,Healthy
Turbine,211.38,56.95,2.51,63304,Healthy
Distillation Column,151.4,6.46,0.0,123118,Warning
Pump,60.14,5.16,0.67,38615,Healthy
Storage Tank,20.2,2.55,0.0,57092,Healthy
Pump,124.99,26.24,4.59,164557,Failure
Boiler,311.44,63.72,0.0,160440,Warning
Generator,115.09,0.0,2.69,197156,Failure
Heat Exchanger,246.99,31.09,0.0,228196,Failure
Reactor,426.25,77.67,0.0,185442,Critical
Pipeline,38.73,30.52,0.0,92764,Healthy
Heat Exchanger,154.53,19.95,0.0,25905,Healthy
Reactor,419.57,33.52,0.0,166716,Warning
Storage Tank,20.56,1.5,0.0,22634,Healthy
Reactor,260.35,68.72,0.0,114134,Warning
Compressor,62.46,30.88,3.38,51884,Healthy
Furnace,518.32,6.76,0.0,41837,Healthy
Furnace,486.81,4.81,0.0,63957,Healthy
Pipeline,111.81,40.83,0.0,121373,Healthy
Generator,76.05,0.0,1.23,62109,Healthy
Compressor,89.1,36.13,2.08,10214,Healthy
Boiler,289.38,57.77,0.0,105851,Warning
Motor,37.25,0.0,0.63,16467,Healthy
Pipeline,24.4,28.16,0.0,37163,Healthy
Motor,70.36,0.0,1.17,9978,Healthy
Cooling System,41.99,7.37,1.0,81872,Warning
Heat Exchanger,218.2,11.74,0.0,104670,Warning
Storage Tank,67.8,2.71,0.0,100660,Healthy
Boiler,245.53,62.48,0.0,74798,Healthy
Storage Tank,62.87,0.1,0.0,94150,Healthy
Storage Tank,42.79,3.61,0.0,193831,Warning
Cooling System,45.96,2.97,1.14,17613,Healthy
Valve,154.97,23.83,0.0,66536,Healthy
Distillation Column,173.65,3.05,0.0,26202,Healthy
Cooling System,28.25,5.58,0.97,15123,Healthy
Reactor,273.26,33.27,0.0,48727,Healthy
Turbine,225.13,72.25,2.69,22978,Healthy
Turbine,184.07,81.58,1.62,110424,Warning
Pipeline,176.22,57.03,0.0,226211,Critical
Generator,106.52,0.0,2.36,196761,Critical
Storage Tank,86.55,4.58,0.0,286022,Critical
Generator,109.37,0.0,2.65,226135,Failure
Generator,58.16,0.0,1.88,139380,Warning
Generator,54.05,0.0,0.7,25682,Healthy
Boiler,181.9,61.44,0.0,25878,Healthy
Furnace,694.67,1.6,0.0,98338,Healthy
Generator,106.59,0.0,2.21,164040,Critical
Cooling System,55.62,8.06,0.63,154961,Critical
Pipeline,162.15,15.58,0.0,184191,Warning
Pipeline,158.35,37.32,0.0,136581,Warning
Reactor,419.88,27.3,0.0,146307,Warning
Generator,61.32,0.0,1.52,46814,Healthy
Pump,62.22,5.27,2.85,22452,Healthy
Furnace,644.65,3.86,0.0,68950,Healthy
Turbine,355.98,65.4,1.44,51473,Healthy
Pipeline,74.96,42.47,0.0,33788,Healthy
Pipeline,89.2,29.38,0.0,54257,Healthy
Pump,86.11,12.13,3.21,107203,Warning
Storage Tank,41.78,0.88,0.0,58572,Healthy
Reactor,298.36,35.07,0.0,35679,Healthy
Pump,40.36,12.4,1.25,16238,Healthy
Storage Tank,36.66,1.77,0.0,87264,Healthy
Pump,51.55,9.14,1.86,19655,Healthy
Turbine,458.67,100.29,4.11,236645,Failure
Storage Tank,82.73,4.18,0.0,266476,Critical
Furnace,358.1,1.31,0.0,36817,Healthy
Pump,102.32,7.62,0.62,86367,Warning
Distillation Column,128.8,5.12,0.0,41128,Healthy
Furnace,824.67,5.09,0.0,141802,Warning
Compressor,158.6,19.88,1.06,96312,Warning
Motor,89.94,0.0,2.83,86849,Critical
Heat Exchanger,206.17,15.65,0.0,117158,Warning
Pipeline,90.72,40.9,0.0,72261,Healthy
Pump,54.57,14.1,0.76,61710,Healthy
Instrumentation,87.1,18.44,0.0,17952,Healthy
Pump,61.62,11.99,1.81,61946,Healthy
Distillation Column,226.46,4.37,0.0,67289,Healthy
Valve,135.97,7.7,0.0,17873,Healthy
Valve,225.76,45.5,0.0,158420,Critical
Reactor,477.89,80.62,0.0,273035,Failure
Cooling System,28.57,7.53,1.37,74062,Warning
Motor,83.12,0.0,1.81,69719,Warning
Distillation Column,215.25,4.26,0.0,55994,Healthy
Storage Tank,54.64,0.49,0.0,122810,Healthy
Valve,113.11,11.77,0.0,54684,Healthy
Cooling System,38.44,2.7,0.5,64709,Healthy
Distillation Column,227.9,4.96,0.0,73900,Healthy
Cooling System,21.12,5.66,1.5,50536,Healthy
Furnace,485.34,6.42,0.0,46776,Healthy
Storage Tank,75.25,1.84,0.0,143793,Warning
Turbine,345.29,67.19,2.19,16157,Healthy
Reactor,226.36,56.71,0.0,83782,Healthy
Boiler,173.97,47.51,0.0,71230,Healthy
Furnace,883.2,8.04,0.0,191174,Critical
Motor,92.41,0.0,2.96,88555,Critical
Motor,65.67,0.0,1.84,12081,Healthy
Distillation Column,299.58,2.12,0.0,150293,Warning
Distillation Column,227.68,4.12,0.0,22678,Healthy
Pump,64.97,5.38,0.78,35675,Healthy
Pipeline,41.35,7.33,0.0,87798,Healthy
Pipeline,61.2,7.47,0.0,89219,Healthy
Storage Tank,79.42,0.36,0.0,190372,Warning
Instrumentation,72.46,25.3,0.0,18587,Healthy
Motor,39.13,0.0,1.29,38944,Healthy
Distillation Column,302.87,1.28,0.0,126211,Warning
Turbine,177.21,60.76,0.88,33856,Healthy
Pump,68.92,5.5,0.98,66878,Healthy
Boiler,187.03,50.2,0.0,62879,Healthy
Distillation Column,254.28,5.8,0.0,54912,Healthy
Boiler,213.07,93.14,0.0,166444,Warning
Turbine,223.77,45.92,1.27,83180,Healthy
Furnace,657.09,2.81,0.0,76182,Healthy
Valve,228.34,47.45,0.0,144251,Critical
Instrumentation,104.97,28.39,0.0,63061,Warning
Boiler,209.72,43.75,0.0,87639,Healthy
Distillation Column,351.54,8.58,0.0,301462,Failure
Distillation Column,142.13,4.66,0.0,20430,Healthy
Valve,186.71,43.57,0.0,87964,Warning
Boiler,157.36,28.98,0.0,34609,Healthy
Turbine,318.36,66.13,3.32,124602,Warning
Distillation Column,341.73,7.27,0.0,183249,Critical
Cooling System,26.21,5.28,1.05,62576,Healthy
Motor,76.79,0.0,1.17,77848,Warning
Furnace,435.95,7.35,0.0,107805,Warning
Valve,181.02,16.98,0.0,13746,Healthy
Heat Exchanger,235.5,26.07,0.0,182322,Critical
Cooling System,60.7,10.26,2.0,201079,Failure
Valve,62.62,22.43,0.0,43556,Healthy
Pipeline,51.09,40.05,0.0,94924,Healthy
Turbine,287.96,88.07,2.82,107295,Warning
Pipeline,59.42,32.57,0.0,78577,Healthy
Pipeline,163.43,32.98,0.0,198724,Warning
Motor,66.01,0.0,1.32,35230,Healthy
Boiler,330.68,113.72,0.0,207028,Critical
Generator,106.66,0.0,2.13,192717,Critical
Pump,50.93,18.88,1.85,71701,Warning
